City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,16.22,75,46,12.98,SH,1707012125
1,bethel,41.3712,-73.414,1.68,63,10,3.33,US,1707012037
2,vadso,70.0744,29.7487,-1.91,80,100,5.14,NO,1707012125
3,akureyri,65.6835,-18.0878,-6.04,93,100,1.03,IS,1707012125
4,ashgabat,37.95,58.3833,0.92,86,0,2.06,TM,1707011944
5,adamstown,-25.066,-130.1015,25.59,71,100,1.89,PN,1707012125
6,invercargill,-46.4,168.35,21.68,58,100,6.71,NZ,1707012126
7,saint-pierre,-21.3393,55.4781,20.82,73,0,3.6,RE,1707012126
8,emerald,-23.5333,148.1667,31.3,53,87,5.94,AU,1707012126
9,margaret river,-33.95,115.0667,17.79,52,75,6.58,AU,1707012126
10,bento goncalves,-29.1714,-51.5192,20.53,76,99,0.88,BR,1707012126
11,kingston,17.997,-76.7936,25.53,73,20,1.54,JM,1707012044
12,bazar-korgon,41.0376,72.7459,0.07,66,100,1.78,KG,1707012127
13,belomorsk,64.5232,34.7668,-6.29,96,100,2.12,RU,1707012127
14,yellowknife,62.456,-114.3525,-24.71,77,0,2.57,CA,1707011860
15,enewetak,11.3474,162.3373,26.49,83,68,10.01,MH,1707012127
16,san juanito,28.0,-107.5833,0.46,63,0,5.02,MX,1707012128
17,port mathurin,-19.6833,63.4167,26.47,62,14,5.65,MU,1707011990
18,port-aux-francais,-49.35,70.2167,6.61,87,93,8.43,TF,1707011985
19,philadelphia,39.9523,-75.1638,4.94,64,0,3.6,US,1707012002
20,tura,25.5198,90.2201,15.18,33,0,0.88,IN,1707012128
21,kapa'a,22.0752,-159.319,21.72,57,33,2.68,US,1707012128
22,lebu,-37.6167,-73.65,14.44,82,0,8.97,CL,1707012128
23,ilulissat,69.2167,-51.1,-20.99,49,94,6.69,GL,1707012129
24,san patricio,28.017,-97.5169,18.24,52,1,2.06,US,1707012129
25,kodiak,57.79,-152.4072,0.73,86,75,4.12,US,1707012129
26,grytviken,-54.2811,-36.5092,10.16,75,94,3.88,GS,1707011991
27,hoima,1.4356,31.3436,22.56,41,90,0.62,UG,1707012130
28,aban,56.67,96.06,-23.93,100,100,1.52,RU,1707012130
29,avarua,-21.2078,-159.775,30.03,74,75,4.63,CK,1707012130
30,isafjordur,66.0755,-23.124,-4.44,91,99,7.6,IS,1707012130
31,badger,64.8,-147.5333,-36.12,73,5,1.0,US,1707012131
32,tiksi,71.6872,128.8694,-33.51,100,100,1.83,RU,1707012131
33,itoman,26.1247,127.6694,24.43,83,75,1.54,JP,1707012131
34,morehead city,34.7229,-76.726,7.0,81,0,2.06,US,1707012087
35,albany,42.6001,-73.9662,-1.47,64,20,0.89,US,1707012131
36,miri,4.4148,114.0089,27.08,89,40,1.03,MY,1707012132
37,punta arenas,-53.15,-70.9167,11.06,62,0,3.6,CL,1707012013
38,georgetown,5.4112,100.3354,29.96,83,20,2.57,MY,1707012132
39,udachny,66.4167,112.4,-31.45,82,73,1.35,RU,1707012132
40,whitehorse,60.7161,-135.0538,-25.57,55,20,2.06,CA,1707012132
41,baiti,13.745,-14.7482,25.07,12,2,4.75,SN,1707012132
42,puerto ayora,-0.7393,-90.3518,25.31,98,18,2.68,EC,1707012133
43,port elizabeth,-33.918,25.5701,22.83,95,0,3.09,ZA,1707012133
44,mascara,35.3966,0.1403,4.51,56,0,1.76,DZ,1707012133
45,pangoa,-12.1167,-73.0,20.7,98,70,1.25,PE,1707012133
46,forster,-32.1667,152.5167,31.83,63,85,6.54,AU,1707012134
47,longyearbyen,78.2186,15.6401,-11.09,79,0,3.09,SJ,1707012134
48,iqaluit,63.7506,-68.5145,-25.73,68,0,5.14,CA,1707012134
49,waitangi,-43.9535,-176.5597,18.23,64,8,3.13,NZ,1707012134
50,nemuro,43.3236,145.575,-3.42,61,15,5.2,JP,1707012135
51,weno,7.4515,151.8468,27.97,89,100,6.69,FM,1707011864
52,hamilton,39.1834,-84.5333,5.43,77,0,1.54,US,1707011968
53,bharatpur,27.2167,77.4833,13.95,64,100,1.11,IN,1707012135
54,filiatra,37.15,21.5833,9.27,74,1,2.93,GR,1707012135
55,papatowai,-46.5619,169.4708,20.16,53,100,6.8,NZ,1707012135
56,jamestown,42.097,-79.2353,-2.2,97,0,3.6,US,1707012027
57,kailua-kona,19.6406,-155.9956,25.84,78,38,0.45,US,1707012136
58,pacific grove,36.6177,-121.9166,10.39,88,100,1.34,US,1707012136
59,ribeira grande,38.5167,-28.7,17.1,84,11,6.71,PT,1707012136
60,newman,37.3138,-121.0208,12.38,74,100,0.45,US,1707012136
61,puerto natales,-51.7236,-72.4875,7.92,84,100,1.35,CL,1707012096
62,revda,56.801,59.9303,-10.91,95,100,2.35,RU,1707012136
63,llallagua,-18.4167,-66.6333,7.53,68,3,5.42,BO,1707012137
64,susuman,62.7833,148.1667,-25.05,96,93,1.38,RU,1707012137
65,arkhara,49.4212,130.0842,-26.24,98,76,1.34,RU,1707012137
66,east london,-33.0153,27.9116,24.4,87,91,3.53,ZA,1707012137
67,qala i naw,34.9874,63.1289,0.19,78,4,1.23,AF,1707012137
68,mata-utu,-13.2816,-176.1745,28.7,77,100,8.9,WF,1707012111
69,bakanas,44.8081,76.2772,-7.91,87,100,1.49,KZ,1707012138
70,alofi,-19.0595,-169.9187,30.94,70,90,5.14,NU,1707012061
71,khandyga,62.6667,135.6,-36.95,98,84,0.36,RU,1707012138
72,holualoa,19.6228,-155.9522,23.77,79,45,0.45,US,1707012113
73,lockwood,45.8191,-108.4149,6.34,78,75,2.57,US,1707012138
74,gwaram,11.2764,9.8858,15.14,25,2,2.66,NG,1707012139
75,ust-tsilma,65.441,52.1498,-14.02,91,100,4.47,RU,1707012139
76,eyl,7.9803,49.8164,23.53,83,5,6.55,SO,1707012139
77,afaahiti,-17.75,-149.2833,28.93,77,98,4.25,PF,1707012139
78,monthey,46.2555,6.9607,8.32,74,30,1.67,CH,1707012139
79,petropavlovsk-kamchatsky,53.0452,158.6483,-13.67,52,40,2.0,RU,1707012140
80,bilibino,68.0546,166.4372,-28.02,83,18,2.68,RU,1707011988
81,polohy,47.4844,36.2536,3.69,96,100,7.04,UA,1707012140
82,napier,-39.4833,176.9167,21.82,52,0,3.58,NZ,1707012140
83,hassi messaoud,31.6804,6.0729,9.92,62,0,2.06,DZ,1707012141
84,chernyshevsk,52.5243,117.0174,-27.15,96,51,0.72,RU,1707012141
85,thompson,55.7435,-97.8558,0.09,100,100,2.06,CA,1707011981
86,barcelos,41.5388,-8.6151,12.14,82,0,1.57,PT,1707012141
87,vila velha,-20.3297,-40.2925,25.97,95,75,1.54,BR,1707012043
